Margin D,% Home Ownership,% Married Couples,% Poverty,% Bachelor's Degree or Higher,% Less than High School,% Non-Hispanic White,% Black,% Native,% Asian,% Hispanic,% Foreign Born
-44.42,73.2906,67.0875,15.1852,26.5716,11.4834,74.6027,19.0033,0.2528,1.0347,2.8259,2.3456
-53.76,75.2453,64.4356,10.3541,31.8625,9.1938,83.0724,9.174,0.6536,0.9186,4.5628,3.7232
-7.66,60.8989,50.9544,30.6687,11.5787,26.7869,45.8105,47.439,0.2918,0.4771,4.3571,2.7168
-57.73,74.4159,59.0777,18.1272,10.3785,20.9426,74.5254,22.1447,0.1334,0.12,2.5741,1.5116
-80,78.7787,68.773,13.5515,13.0934,19.5094,86.8934,1.5274,0.0693,0.3675,9.2613,4.5405
49.86,71.1162,39.1601,28.8737,12.0546,25.3204,21.3798,74.8048,0,0.4879,2.5566,0.7026
-15.74,69.9508,51.515,22.5026,16.1372,14.9504,51.6038,45.0272,0.0555,0.348,1.397,0.7716
-39,70.0684,57.9455,17.9027,18.4811,15.5673,72.0724,20.6617,0.1919,0.8786,3.797,2.6619
-15.63,67.4598,52.1221,17.2522,13.2961,18.3782,55.5466,39.5603,0.3327,1.1171,2.3767,1.839
-72.83,77.34,68.5695,13.922,12.753,18.4275,91.723,4.5979,1.081,0.2471,1.5944,0.857
-67.39,74.4964,60.6504,19.1158,12.7238,18.2187,80.1317,9.1726,0.0885,0.4426,7.847,4.5557
-15.67,80.9057,53.1152,23.348,11.9305,18.6194,56.3791,42.5532,0.0619,0.1315,0.4101,0.6344
-11.95,70.099,56.5592,23.2098,12.2242,19.4335,52.7188,45.7725,0.1078,0.431,0.3274,0.2362
-62.54,75.4521,62.9211,17.9477,10.5614,23.3111,80.3554,15.5057,0,0.1575,3.1416,2.0019
-80.38,76.1268,68.5296,17.2835,15.4184,20.9713,92.6924,2.7487,0.0939,0.0201,2.4604,1.6157
-53.08,65.7448,62.7347,15.0694,22.7921,14.0736,70.1463,16.8015,1.1633,1.4421,7.2839,3.9855
-38.94,72.1938,60.7547,15.466,18.1473,14.8438,78.1983,16.0833,0.5824,0.4729,2.8427,1.9408
-7.39,76.1037,49.2995,17.5934,12.7703,15.6685,50.0484,47.757,0.2017,0.4518,0.6777,0.9359
-33.49,79.2411,61.2123,13.513,12.8224,20.0024,64.795,33.606,0.0744,0,1.0133,0.4927
-68.07,74.4748,60.3688,18.587,15.2712,16.5856,83.2903,13.3898,0.0591,0.3817,1.6909,0.8333
-47.82,75.4805,54.8906,15.1582,17.4097,20.805,70.9838,23.1292,0.6645,1.2641,0.7946,1.3869
-77.42,74.8083,65.1473,14.8694,13.8655,18.4458,91.8844,1.248,0.2824,0.379,4.3583,2.5744
-46.27,60.0872,58.5585,17.6459,18.1384,13.8799,68.5655,19.7841,0.5682,1.2237,6.5142,3.5067
37.54,59.34,41.169,29.0666,14.7099,18.1565,27.3162,70.4284,0.0945,0.5671,1.0703,1.2899
-69.79,71.5323,65.6079,21.0831,13.0152,25.1552,80.4361,1.4318,1.0742,0.1206,14.5506,7.3019
-48.25,73.2564,67.2593,11.5088,25.0655,13.376,73.1588,21.2252,0.26,0.541,2.9626,2.1074
-37.41,68.3245,55.1603,22.1508,12.4676,18.8638,60.2342,31.9778,3.9831,0.2753,2.3342,0.6962
-50.2,72.5874,58.0415,17.3909,17.7907,15.4473,77.8614,15.4368,0.3669,0.7436,3.8755,2.8302
-67.37,77.2567,66.4998,19.4414,12.3954,17.4013,84.4974,11.1738,0,0.4729,1.8007,0.9337
-65.91,70.7911,56.8977,19.4106,13.9854,22.799,76.848,4.2872,0.2797,0.3718,17.1614,8.9557
-73.76,72.0023,61.5402,22.0106,12.492,19.6785,83.8513,9.4144,0.8934,0.4353,3.9785,1.4877
63.02,67.062,35.8648,38.0975,10.1157,20.7837,17.2393,79.457,0.4445,0,1.742,0.2763
18.62,75.8407,51.5131,24.1813,14.2224,15.9964,39.53,59.3693,0.2026,0.2228,0.027,0.2431
-43.03,83.3333,66.8888,13.8252,17.0611,20.6197,69.1706,26.5511,0.1751,0.3969,2.6207,0.9047
-42.66,65.7043,55.61,18.2344,21.7067,13.9559,66.4553,26.7626,0.2502,0.8682,3.3228,2.3877
-67.49,75.5207,65.4348,18.5843,13.9869,16.8059,89.2482,3.4232,1.1224,0.4474,2.9295,1.3712
13.15,62.7027,53.0132,16.0236,33.38,9.9355,49.889,42.803,0.1595,1.5667,3.8742,4.0902
-72.23,75.6318,69.6058,20.6471,11.9345,17.6578,85.9921,10.6518,0.0216,0.1224,1.6493,0.8498
-44.67,68.1396,62.5173,14.5828,23.5009,12.6183,84.7206,10.143,0.3922,0.6407,2.6751,1.9599
-54.64,77.6603,65.8845,18.0319,12.5676,20.6957,76.4868,10.5754,5.6023,0.1966,2.1901,0.9014
-20.1,61.6083,56.6705,19.5942,35.313,9.1175,67.4419,22.7257,0.1837,4.1116,3.6767,5.5643
-42.59,77.625,68.2272,13.5726,25.7363,15.3135,76.5442,13.597,0.6841,1.3734,6.0173,3.6737
45.88,74.2649,39.581,26.8116,14.6842,21.6511,24.6552,74.3625,0.129,0,0.4961,0.754
63.82,65.4803,43.6272,24.4208,20.3607,18.2,15.8542,82.5422,0.0855,0.171,0.8125,0.604
-7.95,66.8376,62.279,12.4795,42.7571,8.2992,64.6789,24.0466,0.5642,2.6201,4.9487,5.5113
1.33,71.4849,46.6247,21.9039,16.1091,16.1778,44.8838,53.5583,0.1087,0,1.0144,0.3778
-77.8,75.1438,65.266,17.4811,12.7633,20.4259,91.8536,3.432,0.4721,0.1808,2.6016,1.2422
-68.71,70.1775,63.6214,20.308,19.3683,18.3895,80.7545,2.6651,0.3649,0.5991,13.9655,7.3544
-11.88,64.5455,53.8716,18.7806,23.1995,13.5333,56.8923,35.5424,0.7582,1.8925,2.9021,3.126
-15.86,63.6419,51.6415,27.9423,13.4733,14.3566,54.2736,42.3601,1.7489,0.2727,0.3808,0.5172
31.49,58.379,46.9843,19.3526,33.3758,13.2682,33.9018,57.7948,0.1423,2.8034,3.5155,4.699
-49.2,72.7209,63.4254,14.637,22.4011,15.9279,75.6319,12.6932,0.4739,0.6375,8.3565,4.5742
48.2,71.8567,23.7416,30.8455,22.7775,17.1681,29.3447,69.3102,0.0323,0.0861,1.1837,2.1414
-16.26,75.2521,57.2445,22.717,14.1221,18.4891,53.6482,39.8409,0.1383,0.0593,4.8659,3.4382
-17.38,62.2791,48.1504,24.4313,23.733,15.0326,56.0166,36.5824,0.564,2.202,2.25,4.245
-58.65,76.649,59.2064,16.9294,16.5251,20.3664,75.2947,19.6715,0.1678,0.2075,2.9496,1.2938
6.39,60.1797,52.6937,20.6997,17.8237,16.1793,46.0657,43.4118,0.264,0.8731,5.4908,3.6617
-40.39,79.8945,70.1854,12.2084,16.0849,15.4467,85.8698,9.5671,0.3455,0.799,2.4242,1.5968
-63.95,80.5262,72.3018,7.4845,42.9294,7.3288,77.8655,12.0249,0.2619,2.0611,5.7199,5.6116
48.48,64.0715,37.0143,31.7628,21.5628,13.3037,24.8105,71.9153,0.0703,2.1411,0.5314,1.6488
